

De volgende Dispatch werd gegenereerd: 
	model.Dispatch nr. 1 bevindt zich op Brusselsestraat 5
	model.Voertuig nr. 47 bevindt zich op Capucijnenvoer 6 met nummerplaat 1-QYU-386, en is van het merk Citroën, 
	model.Voertuig nr. 48 bevindt zich op Tiensestraat 5 met nummerplaat 1-RAF-097, en is van het merk Opel, 
	model.Voertuig nr. 49 bevindt zich op Schapenstraat 5 met nummerplaat 1-MDG-428, en is van het merk BMW, 
	model.Voertuig nr. 50 bevindt zich op Vanwayenberglaan 2 met nummerplaat 1-JST-095, en is van het merk Porche, 
	model.Voertuig nr. 51 bevindt zich op Tiensestraat 5 met nummerplaat 1-WCU-449, en is van het merk BMW, 
	model.Voertuig nr. 52 bevindt zich op Capucijnenvoer 4 met nummerplaat 1-JSI-933, en is van het merk Porche, 
	model.Voertuig nr. 53 bevindt zich op Capucijnenvoer 3 met nummerplaat 1-KTN-671, en is van het merk Seat, 
	model.Voertuig nr. 54 bevindt zich op Naamsevest 9 met nummerplaat 1-VZO-634, en is van het merk Hyundai, 
	model.Voertuig nr. 55 bevindt zich op Tiensevest 7 met nummerplaat 1-MGV-612, en is van het merk Opel, 
	model.Voertuig nr. 56 bevindt zich op Pieter de somer plein 7 met nummerplaat 1-OUO-068, en is van het merk Porche, 
	model.Voertuig nr. 57 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-ZMJ-106, en is van het merk Porche, en is geseind want Gestolen, 
	model.Voertuig nr. 58 bevindt zich op Pieter de somer plein 5 met nummerplaat 1-TZQ-498, en is van het merk Porche, 
	model.Voertuig nr. 59 bevindt zich op Pieter de somer plein 9 met nummerplaat 1-DAU-114, en is van het merk Ford, 
	model.Voertuig nr. 60 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-TOF-823, en is van het merk Chevrolet, 
	model.Voertuig nr. 61 bevindt zich op Diestevest 5 met nummerplaat 1-QRV-674, en is van het merk Range Rover, en is geseind want Gestolen, 
	model.Voertuig nr. 62 bevindt zich op Vanwayenberglaan 2 met nummerplaat 1-PID-409, en is van het merk Opel, 
	model.Voertuig nr. 63 bevindt zich op Schapenstraat 7 met nummerplaat 1-ULU-681, en is van het merk Jaguar, en is geseind want Gestolen, 
	model.Voertuig nr. 64 bevindt zich op Brusselsestraat 10 met nummerplaat 1-LIW-388, en is van het merk Porche, 
	model.Voertuig nr. 65 bevindt zich op Diestestraat 8 met nummerplaat 1-GNX-601, en is van het merk VW, 
	model.Voertuig nr. 66 bevindt zich op Herenstraat 8 met nummerplaat 1-NTO-654, en is van het merk Seat, 
	model.Voertuig nr. 67 bevindt zich op Pieter de somer plein 7 met nummerplaat 1-UMW-572, en is van het merk Citroën, 
	model.Voertuig nr. 68 bevindt zich op Capucijnenvoer 6 met nummerplaat 1-CUV-762, en is van het merk Citroën, 
	model.Voertuig nr. 69 bevindt zich op Vanwayenberglaan 7 met nummerplaat 1-HYW-911, en is van het merk Citroën, 
	model.Voertuig nr. 70 bevindt zich op Tiensevest 10 met nummerplaat 1-MLU-813, en is van het merk Renault, 
	model.Voertuig nr. 71 bevindt zich op Brouwersstraat 7 met nummerplaat 1-WUX-548, en is van het merk Ford, 
	model.Voertuig nr. 72 bevindt zich op Capucijnenvoer 4 met nummerplaat 1-JBJ-782, en is van het merk Seat, 
	model.Voertuig nr. 73 bevindt zich op Tiensevest 8 met nummerplaat 1-PJB-019, en is van het merk Renault, 
	model.Voertuig nr. 74 bevindt zich op Naamsevest 1 met nummerplaat 1-JGL-871, en is van het merk Chevrolet, 
	model.Voertuig nr. 75 bevindt zich op Vanwayenberglaan 7 met nummerplaat 1-FCS-823, en is van het merk Toyota, 
	model.Voertuig nr. 76 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-JOM-520, en is van het merk Nissan, 
	model.Voertuig nr. 77 bevindt zich op Pieter de somer plein 5 met nummerplaat 1-OJJ-187, en is van het merk Range Rover, 
	model.Voertuig nr. 78 bevindt zich op Naamsestraat 10 met nummerplaat 1-FST-194, en is van het merk Porche, 
	model.Voertuig nr. 79 bevindt zich op Diestestraat 8 met nummerplaat 1-RBC-244, en is van het merk Opel, 
	model.Voertuig nr. 80 bevindt zich op Naamsevest 1 met nummerplaat 1-QYK-668, en is van het merk Lada, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 81 bevindt zich op Diestestraat 10 met nummerplaat 1-TNC-715, en is van het merk Jaguar, 
	model.Voertuig nr. 82 bevindt zich op Schapenstraat 5 met nummerplaat 1-AIE-712, en is van het merk Ford, 
	model.Voertuig nr. 83 bevindt zich op Naamsestraat 7 met nummerplaat 1-NBY-389, en is van het merk Porche, 
	model.Voertuig nr. 84 bevindt zich op Capucijnenvoer 4 met nummerplaat 1-BJM-122, en is van het merk Chevrolet, 
	model.Voertuig nr. 85 bevindt zich op Tiensestraat 8 met nummerplaat 1-ODK-489, en is van het merk Toyota, 
	model.Voertuig nr. 86 bevindt zich op Diestestraat 8 met nummerplaat 1-GXF-097, en is van het merk Citroën, 
	model.Voertuig nr. 87 bevindt zich op Diestestraat 4 met nummerplaat 1-NQO-816, en is van het merk Porche, 
	model.Voertuig nr. 88 bevindt zich op Dekenstraat 9 met nummerplaat 1-ORU-725, en is van het merk Hyundai, 
	model.Voertuig nr. 89 bevindt zich op Vanwayenberglaan 2 met nummerplaat 1-KGT-577, en is van het merk Range Rover, 
	model.Voertuig nr. 90 bevindt zich op Vesaliusstraat 6 met nummerplaat 1-CBH-810, en is van het merk Dacia, 
	model.Voertuig nr. 91 bevindt zich op Brusselsestraat 10 met nummerplaat 1-ELR-999, en is van het merk Nissan, 
	model.Voertuig nr. 92 bevindt zich op Tiensestraat 3 met nummerplaat 1-FVQ-385, en is van het merk Skoda, en is geseind want Gestolen, 
	model.Voertuig nr. 93 bevindt zich op Tiensestraat 3 met nummerplaat 1-RKK-915, en is van het merk Lada, en is geseind want Gestolen, 
	model.Voertuig nr. 94 bevindt zich op Pieter de somer plein 1 met nummerplaat 1-ELR-710, en is van het merk Nissan, 
	model.Voertuig nr. 95 bevindt zich op Diestevest 5 met nummerplaat 1-WJM-484, en is van het merk Skoda, 
	model.Voertuig nr. 96 bevindt zich op Herenstraat 8 met nummerplaat 1-JBA-356, en is van het merk Dacia, 
	model.Voertuig nr. 97 bevindt zich op Capucijnenvoer 3 met nummerplaat 1-UFQ-171, en is van het merk Range Rover, 
	model.Voertuig nr. 98 bevindt zich op Herenstraat 8 met nummerplaat 1-DCA-396, en is van het merk Seat, 
	model.Voertuig nr. 99 bevindt zich op Vanwayenberglaan 2 met nummerplaat 1-LHP-022, en is van het merk Jaguar, 
	model.Voertuig nr. 100 bevindt zich op Brusselsestraat 2 met nummerplaat 1-HJC-352, en is van het merk Toyota, 
	model.Voertuig nr. 101 bevindt zich op Tiensevest 7 met nummerplaat 1-XXP-327, en is van het merk Citroën, 
	model.Voertuig nr. 102 bevindt zich op Brouwersstraat 6 met nummerplaat 1-NDK-663, en is van het merk Jaguar, 
	model.Voertuig nr. 103 bevindt zich op Diestevest 10 met nummerplaat 1-RYQ-062, en is van het merk Nissan, 
	model.Voertuig nr. 104 bevindt zich op Tiensestraat 5 met nummerplaat 1-HIU-799, en is van het merk Range Rover, 
	model.Voertuig nr. 105 bevindt zich op Schapenstraat 5 met nummerplaat 1-MNH-180, en is van het merk BMW, 
	model.Voertuig nr. 106 bevindt zich op Vesaliusstraat 6 met nummerplaat 1-AXT-053, en is van het merk Ford, 
	model.Voertuig nr. 107 bevindt zich op Vesaliusstraat 9 met nummerplaat 1-CDU-622, en is van het merk Porche, 
	model.Voertuig nr. 108 bevindt zich op Diestevest 10 met nummerplaat 1-VGY-193, en is van het merk VW, 
	model.Voertuig nr. 109 bevindt zich op Brusselsestraat 10 met nummerplaat 1-RFO-500, en is van het merk Chevrolet, en is geseind want Gestolen, 
	model.Voertuig nr. 110 bevindt zich op Capucijnenvoer 4 met nummerplaat 1-JJT-125, en is van het merk Dacia, 
	model.Voertuig nr. 111 bevindt zich op Diestestraat 1 met nummerplaat 1-LTO-143, en is van het merk Jaguar, 
	model.Voertuig nr. 112 bevindt zich op Herenstraat 8 met nummerplaat 1-GGA-529, en is van het merk Skoda, 
	model.Voertuig nr. 113 bevindt zich op Brouwersstraat 7 met nummerplaat 1-TUG-077, en is van het merk Porche, 
	model.Voertuig nr. 114 bevindt zich op Naamsestraat 7 met nummerplaat 1-KWW-387, en is van het merk Chevrolet, 
	model.Voertuig nr. 115 bevindt zich op Naamsevest 4 met nummerplaat 1-ZYK-368, en is van het merk Jaguar, 
	model.Voertuig nr. 116 bevindt zich op Schapenstraat 5 met nummerplaat 1-QAK-012, en is van het merk Citroën, 
	model.Voertuig nr. 117 bevindt zich op Schapenstraat 5 met nummerplaat 1-LQH-683, en is van het merk Range Rover, 
	model.Voertuig nr. 118 bevindt zich op Tiensestraat 3 met nummerplaat 1-QFP-944, en is van het merk Porche, 
	model.Voertuig nr. 119 bevindt zich op Capucijnenvoer 4 met nummerplaat 1-LCS-481, en is van het merk Porche, 
	model.Voertuig nr. 120 bevindt zich op Capucijnenvoer 4 met nummerplaat 1-GKX-880, en is van het merk VW, 
	model.Voertuig nr. 121 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-RFH-063, en is van het merk Seat, 
	model.Voertuig nr. 122 bevindt zich op Naamsevest 9 met nummerplaat 1-MPV-055, en is van het merk Ford, 
	model.Voertuig nr. 123 bevindt zich op Brouwersstraat 7 met nummerplaat 1-WDZ-941, en is van het merk Mercedes, 
	model.Voertuig nr. 124 bevindt zich op Tiensestraat 8 met nummerplaat 1-IZO-554, en is van het merk Opel, 
	model.Voertuig nr. 125 bevindt zich op Naamsevest 1 met nummerplaat 1-KLT-420, en is van het merk Mercedes, 
	model.Voertuig nr. 126 bevindt zich op Tiensevest 10 met nummerplaat 1-URC-271, en is van het merk Opel, 
	model.Voertuig nr. 127 bevindt zich op Naamsevest 1 met nummerplaat 1-GKQ-717, en is van het merk Dacia, 
	model.Voertuig nr. 128 bevindt zich op Naamsestraat 7 met nummerplaat 1-JAH-339, en is van het merk Porche, 
	model.Voertuig nr. 129 bevindt zich op Naamsevest 2 met nummerplaat 1-EPF-454, en is van het merk Opel, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 130 bevindt zich op Naamsevest 1 met nummerplaat 1-LJX-746, en is van het merk BMW, 
	model.Voertuig nr. 131 bevindt zich op Brouwersstraat 6 met nummerplaat 1-CGR-642, en is van het merk Seat, 
	model.Voertuig nr. 132 bevindt zich op Dekenstraat 9 met nummerplaat 1-KSV-594, en is van het merk Lada, 
	model.Voertuig nr. 133 bevindt zich op Capucijnenvoer 6 met nummerplaat 1-MJJ-400, en is van het merk Opel, en is geseind want Gestolen, 
	model.Voertuig nr. 134 bevindt zich op Vanwayenberglaan 2 met nummerplaat 1-ABS-867, en is van het merk Ford, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 135 bevindt zich op Tiensestraat 8 met nummerplaat 1-OZB-081, en is van het merk Porche, 
	model.Voertuig nr. 136 bevindt zich op Vanwayenberglaan 7 met nummerplaat 1-QOF-671, en is van het merk Mitsubishi, 
	model.Voertuig nr. 137 bevindt zich op Naamsestraat 10 met nummerplaat 1-DOP-185, en is van het merk VW, 
	model.Voertuig nr. 138 bevindt zich op Diestevest 5 met nummerplaat 1-WRT-397, en is van het merk Porche, 
	model.Voertuig nr. 139 bevindt zich op Diestestraat 1 met nummerplaat 1-NNG-342, en is van het merk Lada, 
	model.Voertuig nr. 140 bevindt zich op Vesaliusstraat 6 met nummerplaat 1-ZXA-988, en is van het merk Mercedes, 
	model.Voertuig nr. 141 bevindt zich op Diestevest 5 met nummerplaat 1-PYE-698, en is van het merk Skoda, 
	model.Voertuig nr. 142 bevindt zich op Pieter de somer plein 1 met nummerplaat 1-TKB-234, en is van het merk Hyundai, 
	model.Voertuig nr. 143 bevindt zich op Brouwersstraat 6 met nummerplaat 1-BHB-943, en is van het merk Hyundai, 
	model.Voertuig nr. 144 bevindt zich op Pieter de somer plein 9 met nummerplaat 1-LKF-591, en is van het merk Citroën, 
	model.Voertuig nr. 145 bevindt zich op Diestestraat 10 met nummerplaat 1-ZRJ-348, en is van het merk VW, 
	model.Voertuig nr. 146 bevindt zich op Diestevest 10 met nummerplaat 1-GKN-123, en is van het merk Hyundai, 
	model.Voertuig nr. 147 bevindt zich op Pieter de somer plein 3 met nummerplaat 1-UPF-696, en is van het merk Nissan, 
	model.Voertuig nr. 148 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-LMZ-741, en is van het merk Ford, 
	model.Voertuig nr. 149 bevindt zich op Herenstraat 8 met nummerplaat 1-ZHL-014, en is van het merk Nissan, 
	model.Voertuig nr. 150 bevindt zich op Tiensestraat 3 met nummerplaat 1-WAL-993, en is van het merk Toyota, 
	model.Voertuig nr. 151 bevindt zich op Brouwersstraat 7 met nummerplaat 1-IFH-879, en is van het merk Chevrolet, 
	model.Voertuig nr. 152 bevindt zich op Schapenstraat 7 met nummerplaat 1-CHP-741, en is van het merk Seat, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 153 bevindt zich op Vesaliusstraat 9 met nummerplaat 1-DVF-800, en is van het merk Nissan, 
	model.Voertuig nr. 154 bevindt zich op Naamsestraat 4 met nummerplaat 1-OSD-590, en is van het merk Jaguar, 
	model.Voertuig nr. 155 bevindt zich op Diestestraat 10 met nummerplaat 1-HXP-799, en is van het merk Chevrolet, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 156 bevindt zich op Brusselsestraat 10 met nummerplaat 1-XQM-154, en is van het merk Nissan, 
	model.Voertuig nr. 157 bevindt zich op Tiensevest 7 met nummerplaat 1-CTU-990, en is van het merk Citroën, 
	model.Voertuig nr. 158 bevindt zich op Diestestraat 1 met nummerplaat 1-IZJ-576, en is van het merk Seat, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 159 bevindt zich op Capucijnenvoer 3 met nummerplaat 1-JTU-494, en is van het merk VW, 
	model.Voertuig nr. 160 bevindt zich op Tiensevest 10 met nummerplaat 1-SWO-603, en is van het merk Renault, 
	model.Voertuig nr. 161 bevindt zich op Diestevest 10 met nummerplaat 1-ROS-550, en is van het merk Seat, 
	model.Voertuig nr. 162 bevindt zich op Schapenstraat 5 met nummerplaat 1-ALP-989, en is van het merk Renault, 
	model.Voertuig nr. 163 bevindt zich op Diestestraat 4 met nummerplaat 1-FUJ-771, en is van het merk Chevrolet, 
	model.Voertuig nr. 164 bevindt zich op Capucijnenvoer 4 met nummerplaat 1-ZGY-070, en is van het merk Skoda, 
	model.Voertuig nr. 165 bevindt zich op Vesaliusstraat 6 met nummerplaat 1-DUU-566, en is van het merk Ford, 
	model.Voertuig nr. 166 bevindt zich op Naamsestraat 10 met nummerplaat 1-HXO-922, en is van het merk Mercedes, 
	model.Voertuig nr. 167 bevindt zich op Pieter de somer plein 7 met nummerplaat 1-JZY-089, en is van het merk Ford, 
	model.Voertuig nr. 168 bevindt zich op Schapenstraat 5 met nummerplaat 1-LEZ-697, en is van het merk BMW, 
	model.Voertuig nr. 169 bevindt zich op Brusselsestraat 10 met nummerplaat 1-TWT-152, en is van het merk Dacia, 
	model.Voertuig nr. 170 bevindt zich op Schapenstraat 5 met nummerplaat 1-SFW-776, en is van het merk Lada, 
	model.Voertuig nr. 171 bevindt zich op Herenstraat 8 met nummerplaat 1-XDA-176, en is van het merk Opel, 
	model.Voertuig nr. 172 bevindt zich op Brouwersstraat 7 met nummerplaat 1-XAY-895, en is van het merk Porche, 
	model.Voertuig nr. 173 bevindt zich op Tiensestraat 8 met nummerplaat 1-WZO-343, en is van het merk Seat, 
	model.Voertuig nr. 174 bevindt zich op Pieter de somer plein 7 met nummerplaat 1-SGK-154, en is van het merk Dacia, 
	model.Voertuig nr. 175 bevindt zich op Schapenstraat 5 met nummerplaat 1-QOQ-936, en is van het merk Seat, 
	model.Voertuig nr. 176 bevindt zich op Vanwayenberglaan 2 met nummerplaat 1-KOZ-074, en is van het merk Renault, 
	model.Voertuig nr. 177 bevindt zich op Brusselsestraat 2 met nummerplaat 1-RPD-140, en is van het merk Citroën, 
	model.Voertuig nr. 178 bevindt zich op Diestevest 5 met nummerplaat 1-IBO-628, en is van het merk Citroën, 
	model.Voertuig nr. 179 bevindt zich op Dekenstraat 9 met nummerplaat 1-CUD-808, en is van het merk Mitsubishi, 
	model.Voertuig nr. 180 bevindt zich op Vanwayenberglaan 7 met nummerplaat 1-FWN-517, en is van het merk VW, 
	model.Voertuig nr. 181 bevindt zich op Pieter de somer plein 3 met nummerplaat 1-XAL-345, en is van het merk Ford, 
	model.Voertuig nr. 182 bevindt zich op Diestestraat 1 met nummerplaat 1-NHL-538, en is van het merk Porche, 
	model.Voertuig nr. 183 bevindt zich op Vanwayenberglaan 2 met nummerplaat 1-TFR-592, en is van het merk Toyota, 
	model.Voertuig nr. 184 bevindt zich op Brouwersstraat 6 met nummerplaat 1-MIT-817, en is van het merk Citroën, 
	model.Voertuig nr. 185 bevindt zich op Diestestraat 10 met nummerplaat 1-ENG-448, en is van het merk Opel, 
	model.Voertuig nr. 186 bevindt zich op Naamsestraat 7 met nummerplaat 1-QGF-711, en is van het merk Range Rover, 
	model.Voertuig nr. 187 bevindt zich op Pieter de somer plein 7 met nummerplaat 1-LHL-580, en is van het merk Chevrolet, 
	model.Voertuig nr. 188 bevindt zich op Capucijnenvoer 4 met nummerplaat 1-CYO-308, en is van het merk Seat, 
	model.Voertuig nr. 189 bevindt zich op Naamsevest 9 met nummerplaat 1-TOU-222, en is van het merk Mercedes, 
	model.Voertuig nr. 190 bevindt zich op Tiensestraat 5 met nummerplaat 1-UMA-038, en is van het merk Skoda, 
	model.Voertuig nr. 191 bevindt zich op Diestevest 10 met nummerplaat 1-BBX-677, en is van het merk Ford, 
	model.Voertuig nr. 192 bevindt zich op Pieter de somer plein 7 met nummerplaat 1-TOD-478, en is van het merk Hyundai, en is geseind want Gestolen, 
	model.Voertuig nr. 193 bevindt zich op Vanwayenberglaan 7 met nummerplaat 1-OAX-672, en is van het merk Dacia, en is geseind want Gestolen]

De volgende Patrouilles werden gegenereerd: [
	model.Patrouille nr. 1 bevindt zich op Brusselsevest 6, 
	model.Patrouille nr. 2 bevindt zich op Capucijnenvoer 6, 
	model.Patrouille nr. 3 bevindt zich op Herenstraat 1, 
	model.Patrouille nr. 4 bevindt zich op Diestestraat 5, 
	model.Patrouille nr. 5 bevindt zich op Tiensevest 10]

De volgende Cameras werden gegenereerd: [
	model.Camera nr. 1 bevindt zich op Vesaliusstraat 8, 
	model.Camera nr. 2 bevindt zich op Tiensestraat 8, 
	model.Camera nr. 3 bevindt zich op Pieter de somer plein 3, 
	model.Camera nr. 4 bevindt zich op Capucijnenvoer 6, 
	model.Camera nr. 5 bevindt zich op Tiensevest 8, 
	model.Camera nr. 6 bevindt zich op Capucijnenvoer 4, 
	model.Camera nr. 7 bevindt zich op Tiensevest 8, 
	model.Camera nr. 8 bevindt zich op Diestestraat 1, 
	model.Camera nr. 9 bevindt zich op Vesaliusstraat 8, 
	model.Camera nr. 10 bevindt zich op Naamsestraat 7, 
	model.Camera nr. 11 bevindt zich op Naamsevest 4, 
	model.Camera nr. 12 bevindt zich op Herenstraat 8, 
	model.Camera nr. 13 bevindt zich op Naamsevest 9, 
	model.Camera nr. 14 bevindt zich op Diestestraat 4, 
	model.Camera nr. 15 bevindt zich op Herenstraat 8, 
	model.Camera nr. 16 bevindt zich op Diestestraat 10, 
	model.Camera nr. 17 bevindt zich op Vanwayenberglaan 2, 
	model.Camera nr. 18 bevindt zich op Tiensestraat 3, 
	model.Camera nr. 19 bevindt zich op Naamsestraat 10, 
	model.Camera nr. 20 bevindt zich op Diestevest 10, 
	model.Camera nr. 21 bevindt zich op Vesaliusstraat 9, 
	model.Camera nr. 22 bevindt zich op Brusselsestraat 2, 
	model.Camera nr. 23 bevindt zich op Pieter de somer plein 1, 
	model.Camera nr. 24 bevindt zich op Naamsestraat 10, 
	model.Camera nr. 25 bevindt zich op Tiensestraat 3, 
	model.Camera nr. 26 bevindt zich op Vanwayenberglaan 7, 
	model.Camera nr. 27 bevindt zich op Vesaliusstraat 8]

De volgende Voertuigen werden geseind: [
	model.Voertuig nr. 193 bevindt zich op Vanwayenberglaan 7 met nummerplaat 1-OAX-672, en is van het merk Dacia, en is geseind want Gestolen, 
	model.Voertuig nr. 42 bevindt zich op Schapenstraat 5 met nummerplaat 1-WCP-579, en is van het merk VW, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 192 bevindt zich op Pieter de somer plein 7 met nummerplaat 1-TOD-478, en is van het merk Hyundai, en is geseind want Gestolen, 
	model.Voertuig nr. 129 bevindt zich op Naamsevest 2 met nummerplaat 1-EPF-454, en is van het merk Opel, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 57 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-ZMJ-106, en is van het merk Porche, en is geseind want Gestolen, 
	model.Voertuig nr. 134 bevindt zich op Vanwayenberglaan 2 met nummerplaat 1-ABS-867, en is van het merk Ford, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 109 bevindt zich op Brusselsestraat 10 met nummerplaat 1-RFO-500, en is van het merk Chevrolet, en is geseind want Gestolen, 
	model.Voertuig nr. 155 bevindt zich op Diestestraat 10 met nummerplaat 1-HXP-799, en is van het merk Chevrolet, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 30 bevindt zich op Capucijnenvoer 3 met nummerplaat 1-YPX-183, en is van het merk Renault, en is geseind want Gestolen, 
	model.Voertuig nr. 158 bevindt zich op Diestestraat 1 met nummerplaat 1-IZJ-576, en is van het merk Seat, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 93 bevindt zich op Tiensestraat 3 met nummerplaat 1-RKK-915, en is van het merk Lada, en is geseind want Gestolen, 
